Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,UPI_Remitter_Bank,Bank_CAELS_Score,Bank_Risk_Tier
44637.24964,49,0,Self_Employed,Tier_1,13391.17489,0.0,2206.490129,6658.768341,2636.970696,1651.801726,1536.184255,2911.792231,1546.914539,0.0,831.5251202,Punjab National Bank,0.915,Low Risk
26858.59659,34,2,Retired,Tier_2,5371.719318,0.0,869.522617,2818.44446,1543.018778,649.3781027,1050.241738,1626.143346,1137.351325,1551.723167,564.2350071,Axis Bank Ltd.,0.131,High Risk
50367.60508,35,1,Student,Tier_3,7555.140763,4612.103386,2201.80005,6313.222081,3221.396403,1513.814376,1723.306926,3368.457108,2178.515847,3160.026299,628.37122,Indian Bank,0.698,Medium Risk
101455.6002,21,0,Self_Employed,Tier_3,15218.34004,6809.441427,4889.418087,14690.14936,7106.130005,5040.249158,2858.19424,6128.550387,4571.118217,0.0,2526.055712,Union Bank of India,0.8,Low Risk
24875.28355,52,4,Professional,Tier_2,4975.05671,3112.609398,635.9071701,3034.329665,1276.155163,692.827225,660.1868515,1092.689024,1169.095816,1445.215694,515.5103003,Central Bank of India,1.0,Low Risk
24875.61027,57,4,Self_Employed,Tier_2,4975.122053,0.0,1038.230996,3250.067756,1760.164812,1049.067453,751.0168146,1024.309765,1022.295439,2003.852035,402.2178434,Bank of India,0.815,Low Risk
106119.6928,53,0,Self_Employed,Tier_2,21223.93855,0.0,4360.20271,12790.39069,6345.738036,4390.905104,2626.771629,6202.549938,3807.098562,0.0,2776.771814,Bank of Baroda,0.575,Medium Risk
55431.34151,40,1,Professional,Tier_2,11086.2683,8307.70222,1755.43982,8194.48241,3353.001888,1741.913582,1219.684252,2361.975893,2574.449981,5520.436852,850.0417121,UCO Bank,0.96,Low Risk
20606.73312,32,4,Retired,Tier_1,6182.019936,3562.488826,1018.58994,3066.86722,1170.790666,688.0598377,418.2338157,921.2327171,830.2370548,1939.226547,446.0686884,Axis Bank Ltd.,0.131,High Risk
46304.79023,30,1,Student,Tier_2,9260.958047,0.0,2130.254825,5065.627032,2500.054847,2040.310666,1016.613164,2945.433561,1649.757514,3085.991147,919.5331562,Federal Bank Ltd.,0.276,High Risk
20706.82234,31,0,Student,Tier_3,3106.02335,0.0,1031.783366,3037.268327,1459.275062,451.4112394,785.2896337,1548.075002,819.0986805,0.0,410.0265115,UCO Bank,0.96,Low Risk
20668.55739,31,4,Professional,Tier_2,4133.711478,0.0,754.4485693,2597.3988,1123.038045,878.8794914,643.1505177,1408.90489,1019.246091,1506.356603,483.8114522,HDFC Bank Ltd.,0.013,High Risk
36407.22336,54,3,Retired,Tier_1,10922.16701,4583.248323,970.7868243,4685.673101,2503.094431,1328.961973,822.8832107,2335.941359,1153.748093,1940.1282,570.1235762,Union Bank of India,0.8,Low Risk
6492.016466,22,3,Retired,Tier_3,973.8024698,0.0,184.2433408,955.4994258,494.8241919,309.239688,229.8259065,471.8695443,222.648418,590.0480388,179.089302,Indian Overseas Bank,0.904,Low Risk
7547.852726,39,4,Self_Employed,Tier_2,1509.570545,0.0,330.1888107,1032.727434,568.2360359,266.4384249,277.4655546,510.5954048,235.7124857,521.9763337,133.4865208,IDFC FIRST Bank,0.221,High Risk
19132.09628,45,2,Student,Tier_2,3826.419256,2525.405342,590.192701,2515.723512,1164.06776,661.7513297,660.7490157,1159.580984,919.4335322,1442.91231,461.5081431,UCO Bank,0.96,Low Risk
13342.20722,62,4,Retired,Tier_2,2668.441444,2540.481211,352.8857323,1920.104094,961.3796911,622.272257,331.7045334,985.6345344,531.5572946,1043.2012,286.2550555,Canara Bank,0.805,Low Risk
38574.64702,21,4,Professional,Tier_2,7714.929404,0.0,1838.336035,5126.823467,2614.478029,1267.553419,1802.739439,2081.389525,1196.044202,3475.97678,843.8000303,Federal Bank Ltd.,0.276,High Risk
14509.13021,55,4,Student,Tier_1,4352.739064,829.4411882,438.5973652,1506.254004,811.7024918,515.5836354,414.2340655,766.3425241,656.6499363,1449.957542,285.0184593,Union Bank of India,0.8,Low Risk
9692.519676,46,0,Professional,Tier_2,1938.503935,0.0,217.5854168,1306.540654,562.1006412,396.0600612,427.9080997,723.6405654,305.6529262,0.0,155.4592027,ICICI Bank Ltd.,0.117,High Risk
96903.57353,54,4,Retired,Tier_2,19380.71471,9481.168345,3585.068553,14257.02911,6271.717336,2829.045122,3879.579166,4066.692964,3956.928477,6227.466415,2131.733194,State Bank of India,0.521,Medium Risk
25042.54908,52,4,Self_Employed,Tier_2,5008.509816,2898.038657,914.2196079,3170.687116,1947.499843,1098.406426,839.5857771,1321.022444,1066.040319,1470.45441,407.4696262,Karnataka Bank,0.536,Medium Risk
31665.25254,37,0,Student,Tier_1,9499.575763,0.0,1034.490352,4019.467417,2180.715805,1373.34327,876.0805909,1686.598171,1579.077124,0.0,623.5628839,ICICI Bank Ltd.,0.117,High Risk
9596.503685,52,4,Retired,Tier_2,1919.300737,0.0,320.4467697,1092.984106,627.3781679,429.7159277,379.4526456,515.084522,417.0735139,540.6901459,258.7191058,Bank of Baroda,0.575,Medium Risk
19408.11353,52,3,Retired,Tier_1,5822.43406,2832.160281,516.1169284,2486.690885,1346.562801,956.5912293,930.2938672,1041.328625,592.6318283,1604.703741,452.332979,Indian Overseas Bank,0.904,Low Risk
32783.83155,37,3,Professional,Tier_2,6556.766311,0.0,946.6248572,4815.609782,1788.105197,1519.466235,1452.262952,1557.937253,1175.053534,2225.123853,973.8822862,Punjab National Bank,0.915,Low Risk
11946.07198,19,4,Student,Tier_2,2389.214396,0.0,413.2962933,1363.786116,641.8882526,475.9294007,497.3062495,699.2782704,404.4367492,782.1353155,130.9715017,IndusInd Bank Ltd.,0.144,High Risk
40518.38397,35,0,Retired,Tier_3,6077.757596,0.0,1992.037987,6013.173481,3205.856924,1070.64494,1146.628221,2250.439911,1221.912561,0.0,1073.101333,IDBI Bank Ltd.,0.833,Low Risk
18554.01912,47,4,Self_Employed,Tier_2,3710.803824,1192.224566,916.6385447,2512.974366,1393.711338,674.6884967,773.1859706,1169.736312,795.0787047,1575.382088,416.6017449,State Bank of India,0.521,Medium Risk
23756.17227,59,4,Student,Tier_2,4751.234454,0.0,537.2630762,2635.306938,1579.259696,597.5939205,1039.084352,1446.638182,1068.194935,2353.880176,325.897742,Kotak Mahindra Bank,0.0,High Risk
18538.17449,46,1,Professional,Tier_2,3707.634898,3359.642815,874.8366655,2506.825232,1186.580174,729.4581326,409.2610161,946.0427259,746.6548569,1722.130244,294.4647046,State Bank of India,0.521,Medium Risk
132028.78,56,2,Self_Employed,Tier_3,19804.317,0.0,4383.838679,15998.74706,7954.561502,5733.445751,4929.443916,6807.523511,5860.840405,8512.724039,2002.055125,Canara Bank,0.805,Low Risk
29677.80921,39,0,Retired,Tier_1,8903.342763,2892.435495,1002.336183,3838.256762,1959.413291,769.2249688,1051.781979,1756.559456,1046.757915,0.0,397.7327098,Indian Overseas Bank,0.904,Low Risk
